1st_key,2nd_key,mean,std
 , ,2677.3333333333335,2798.858529234135
 ,a,274.5222072678331,331.64038788745296
 ,b,398.0330578512397,373.81543872799705
 ,c,405.2875,448.1828357226565
 ,d,356.3840579710145,348.9500481363508
 ,e,437.90909090909093,401.5157714029608
 ,f,368.31404958677683,220.8415734207764
 ,g,314.03333333333336,219.78224262589887
 ,h,446.52962962962965,419.2093871458962
 ,i,995.045,8868.048897543424
 ,k,523.9059829059829,624.3637034517893
 ,l,374.87351778656125,348.09179340682425
 ,m,409.3333333333333,400.48319406985655
 ,n,338.85714285714283,159.65841513621987
 ,o,330.140625,245.28462446315606
 ,p,751.9402985074627,1634.7684006165694
 ,r,276.66129032258067,223.47007901049233
 ,s,361.13943028485755,538.8713347032295
 ,t,365.58830022075057,1189.7856436475502
 ,u,450.15384615384613,468.3379905988453
 ,w,361.18070175438595,371.529448003962
 ,y,354.23880597014926,430.19699819868435
a, ,166.11904761904762,100.36114922216134
a,a,267.85714285714283,115.74890722512036
a,b,267.33870967741933,213.4274509936621
a,c,268.25,244.1379879143292
a,d,232.3658536585366,103.70902456049753
a,g,222.96694214876032,158.87101339788708
a,i,189.40495867768595,150.13645679832993
a,l,218.63606557377048,173.6657463582084
a,m,262.83391003460207,226.55590145702618
a,n,210.5607476635514,173.582572798767
a,r,246.584,182.91733090053302
a,s,192.3760683760684,140.59540627638248
a,t,196.44554455445544,128.95916561317458
a,y,261.5,213.00769417506444
b, ,410.78125,444.44995321486795
b,e,263.6666666666667,358.60969562060563
b,g,212.0,16.87601848778319
b,i,284.5086206896552,310.31942857501605
b,o,254.94915254237287,131.89512862940003
b,u,258.3333333333333,84.02063238673384
c,a,200.21008403361344,94.05136299119408
c,e,217.8135593220339,99.69893897963269
c,h,222.4090909090909,161.98461393451893
c,l,187.64102564102564,152.46398452831195
c,o,306.6885245901639,173.02403888704853
d, ,274.8569620253165,490.3207310642885
d,a,207.625,89.50169591370083
d,e,209.83539094650206,99.85513092504196
d,i,194.8548387096774,126.27044184764615
d,n,263.37931034482756,190.89823022037268
d,o,291.0983606557377,171.85785840998878
d,r,300.5625,329.32310929763236
d,u,342.94262295081967,228.24093037950337
e, ,243.0610632183908,429.80692989702936
e,a,197.46153846153845,76.80514936533206
e,c,364.56140350877195,310.3942203958345
e,d,244.3266129032258,215.31841165631351
e,e,208.40625,179.55303578255135
e,h,188.6,199.3760266431248
e,i,619.0,551.597316889776
e,n,224.41353383458647,200.13541354503369
e,r,167.74650698602795,125.78259662121168
e,s,291.5774647887324,260.55943451251363
e,t,271.875,490.40823616170866
e,v,277.9836065573771,153.19143707610624
f,a,195.5,86.23312903039573
f,l,218.51666666666668,168.4156975318549
g,a,183.91735537190084,114.32370611388666
g,e,237.25333333333333,126.02467511856054
g,h,165.56666666666666,64.89871291368657
g,o,205.21666666666667,151.21127790271382
g,r,214.8548387096774,99.08860859479381
g,s,263.1875,104.1916303420449
h, ,424.3333333333333,675.4549824624387
h,a,150.0,128.68994537576089
h,e,155.3993710691824,173.84696397443855
h,i,230.24324324324326,187.16970987254334
h,o,257.4503816793893,150.91761449624698
h,r,179.2,110.72352956801909
h,t,264.3333333333333,265.2181492030036
h,u,261.989010989011,147.98413342645142
h,y,572.2,744.3354082669989
i, ,284.66101694915255,278.45358742647244
i,a,854.5925925925926,4128.552999371976
i,b,225.0,52.291490703555205
i,d,265.6032608695652,292.10702468288923
i,e,224.046875,120.0278313873065
i,g,247.4181818181818,131.2051956555203
i,k,226.63793103448276,99.28776152490667
i,l,235.9090909090909,51.94315074281602
i,m,295.1219512195122,326.1934351533536
i,n,216.2014652014652,183.8984753758325
i,s,209.1846153846154,117.43534022863555
i,t,279.6935866983373,211.4934169451914
k,e,192.40625,177.3186279930378
k,i,210.01574803149606,108.16675722734253
k,l,297.77966101694915,187.84268448013785
k,y,331.280701754386,122.82446161464465
l, ,274.5625,384.62480017673676
l,a,225.75187969924812,277.0308594016809
l,d,301.6470588235294,264.65178875670506
l,e,269.4744027303754,383.4342072567219
l,i,226.81506849315068,149.19559815073444
l,k,187.4,129.1483642947134
l,l,176.47301587301587,112.10144576297589
l,o,204.5,25.961509971494344
l,y,192.66666666666666,78.31347265956222
m, ,457.0,435.8460163865215
m,a,273.96992481203006,206.42424466520487
m,b,342.5125,217.8677189014713
m,e,234.48603351955308,222.53731810622003
m,o,224.75862068965517,82.88870372422089
m,p,328.30333333333334,295.37379185013805
n, ,276.92488262910797,407.7858807259559
n,d,204.52392344497608,162.73130566538956
n,e,270.5,203.2023432632909
n,g,339.37795275590554,285.72464070099386
n,k,379.49152542372883,542.5777780435843
n,o,226.74603174603175,144.78682530667655
n,t,253.65822784810126,162.20838813524597
o, ,207.28225806451613,223.45769722006042
o,g,315.359375,215.16699805865076
o,l,288.1875,145.32135367293182
o,n,202.0,117.25461213869842
o,o,168.83333333333334,27.080743465914427
o,r,233.29,148.4810837185068
o,t,415.8181818181818,146.5986481396184
o,u,234.18449197860963,163.993103481273
o,v,286.36206896551727,171.94886003059085
o,w,226.11363636363637,138.60982705365498
p, ,303.02564102564105,475.5213802035648
p,e,202.5,79.76402697958522
p,i,294.3885714285714,198.53372823766608
p,l,196.83333333333334,16.797817318528818
p,o,260.48333333333335,259.08517088075143
p,t,355.19607843137254,226.07132368880167
p,u,297.5735294117647,166.7166078966081
r, ,499.15076923076924,642.6066554419068
r,a,236.74380165289256,127.85222778176502
r,e,156.49003984063745,87.06229321812289
r,i,228.18333333333334,146.9154595673546
r,l,293.11764705882354,245.24433914435812
r,r,188.2,58.63616631397383
r,s,446.87610619469024,525.5971626354324
r,t,142.33333333333334,88.82942455440464
r,y,270.46486486486486,187.76928520217274
s, ,328.4941724941725,512.3159191527849
s,a,268.3692307692308,642.5412576546828
s,c,193.83333333333334,69.72636995188167
s,e,206.86764705882354,72.6259902517871
s,h,239.77586206896552,151.46906847731043
s,k,273.67241379310343,235.47677562177822
s,n,225.55172413793105,163.9807618598386
s,o,206.7941176470588,218.04316694509976
s,p,251.70486111111111,217.655162429897
s,t,236.8923076923077,133.01787040151353
s,u,207.66101694915255,172.44269308659327
s,y,246.8403361344538,146.9339805935002
t, ,325.08481262327416,392.9819901360102
t,a,202.89655172413794,154.02593648703387
t,e,209.70945945945945,102.55101623249803
t,g,225.66666666666666,29.24836177748536
t,h,176.5072463768116,123.70552142091596
t,i,511.8333333333333,654.3742095014182
t,l,257.05128205128204,199.10376112044617
t,o,185.34126984126985,120.86429829844134
t,s,316.5126050420168,282.2438830959562
t,t,220.84745762711864,636.1410453063028
t,w,391.1842105263158,255.10287932620767
t,y,223.4493670886076,355.56275176688933
u, ,257.8135593220339,326.6831996237687
u,l,330.88709677419354,286.3848783006916
u,m,329.0353697749196,217.34094377663322
u,n,257.3,124.382311129975
u,p,255.11587982832617,186.6173000726334
u,r,210.54929577464787,127.27380930580834
u,t,237.38064516129032,116.1114446785628
v,e,206.16528925619835,172.71466580786924
w, ,359.2413793103448,358.1279938961756
w,a,216.95049504950495,112.540033457205
w,e,210.609375,194.2368556716013
w,h,225.7127659574468,240.4583022693883
w,i,290.5169491525424,249.7111744604991
w,n,250.94915254237287,308.0621535882124
w,o,205.97272727272727,191.23128122537707
y, ,521.2772861356932,822.3546280193391
y,h,1490.6666666666667,2976.478097797238
y,o,211.0483870967742,168.35193693417088
y,w,576.25,588.5059472936531
